Value
Product ID
Product Category Code
Product Category Code Level 1
Product Category Code Level 2
Product Category Code Level 3
Brand
Category ID
November Conversion Rate
November Units Sold
November Unique Customers
December Conversion Rate
December Units Sold
December Unique Customers
Conversion Growth Rate
Unit Sales Growth Rate
Customer Growth Rate
