product_id,category_code,cat_code_1,cat_code_2,cat_code_3,brand,category_id,nov_conversion_rate,nov_number_units_sold,nov_number_unique_customers,dec_conversion_rate,dec_number_units_sold,dec_number_unique_customers,conv_growth_rate,unit_growth_rate,unq_cust_growth_rate
1004903,electronics.smartphone,electronics,smartphone,NA,huawei,2232732093077520640,0.3418085341587442,1546,1197,0.39274164570607256,6558,4656,14.901064911291478,324.1914618369987,288.97243107769424
1004723,electronics.smartphone,electronics,smartphone,NA,huawei,2232732093077520640,0.3453183520599251,461,373,0.3816434995911693,1867,1427,10.519321465121683,304.9891540130152,282.57372654155495
1005273,electronics.smartphone,electronics,smartphone,NA,huawei,2232732093077520640,0.3492063492063492,154,141,0.4183750949126803,551,441,19.807413543176644,257.79220779220776,212.7659574468085
4804497,sport.bicycle,sport,bicycle,NA,jbl,2232732079706079232,0.378698224852071,64,54,0.42326732673267325,171,146,11.769028465346535,167.1875,170.37037037037038
1307136,NA,NA,NA,NA,NA,NA,0.3338068181818182,235,190,0.43319268635724334,616,485,29.773468593829495,162.12765957446808,155.26315789473685
5100505,electronics.clocks,electronics,clocks,NA,apple,2232732103101907456,0.3476190476190476,73,61,0.43908045977011495,191,134,26.31081719414266,161.64383561643837,119.67213114754098
1002542,electronics.smartphone,electronics,smartphone,NA,apple,2232732093077520640,0.3616504854368932,298,251,0.403611258629846,760,597,11.602576211742646,155.03355704697987,137.84860557768926
1307589,electronics.audio.headphone,electronics,audio,headphone,lenovo,2053013554658804224,0.3472834067547724,473,388,0.4020100502512563,1200,951,15.758496499410384,153.69978858350953,145.10309278350516
1005245,electronics.smartphone,electronics,smartphone,NA,apple,2232732093077520640,0.36231884057971014,100,82,0.47378640776699027,244,175,30.765048543689318,144,113.41463414634146
5801655,electronics.audio.subwoofer,electronics,audio,subwoofer,element,2232732082390433792,0.3582089552238806,144,124,0.4805013927576602,345,257,34.13997214484681,139.58333333333331,107.25806451612902
1005177,electronics.smartphone,electronics,smartphone,NA,samsung,2232732093077520640,0.4044352994970279,1769,1243,0.5131398679785777,4120,2698,26.878110940548268,132.8999434708875,117.0555108608206
1005100,electronics.smartphone,electronics,smartphone,NA,samsung,2232732093077520640,0.34004564371056517,10132,7178,0.4108056042031524,23457,15279,20.808959562150893,131.51401500197395,112.8587350236835
1002547,electronics.smartphone,electronics,smartphone,NA,apple,2232732093077520640,0.36446031310079646,1327,1016,0.4267223382045929,3066,2167,17.083348410167503,131.04747550866617,113.28740157480314
1004748,electronics.smartphone,electronics,smartphone,NA,huawei,2232732093077520640,0.33208606173994387,355,283,0.396356474643033,805,646,19.3535412375781,126.7605633802817,128.26855123674912
1004857,electronics.smartphone,electronics,smartphone,NA,samsung,2232732093077520640,0.3561004086398132,1830,1490,0.41767801525077863,3889,2997,17.292203299112103,112.5136612021858,101.14093959731542
21401209,electronics.clocks,electronics,clocks,NA,casio,2232732103101907456,0.3333333333333333,69,56,0.43034055727554177,139,117,29.102167182662537,101.44927536231884,108.92857142857142
